Title,Price
21-90-158   WOODLAND MACHINERY Daugiavelenės gręžimo staklės (naujos),5 399 €
20-20-557 Daugiapjūklės staklės WOODLAND MACHINERY (naujos),22 450 €
20-33-501 Dulkių nutraukimo sistema WOODLAND MACHINERY (nauja),400 €
21-90-135 Automatinės gręžimo staklės Woodland machinery,10 000 €
20-26-536 Rėmų surinkimo presas WOODLAND MACHINERY  (naujas),4 500 €
"Tašo presas, tipas L12",11 000 €
20-29-601   Pneumatinis šlifavimo ritinys WOODLAND MACHINERY (naujas),210 €
20-29-602   Pneumatinis šlifavimo ritinys WOODLAND MACHINERY (naujas),220 €
20-29-603   Pneumatinis šlifavimo ritinys WOODLAND MACHINERY (naujas),230 €
20-32-524 Juostinis transporteris WOODLAND MACHINERY 5790x240 (naujas),1 510 €
20-32-525 Juostinis transporteris WOODLAND MACHINERY 6000x240 (naujas),1 820 €
20-32-526 Atliekų transporteris WOODLAND MACHINERY (naujas),1 450 €
20-32-522 Juostinis transporteris WOODLAND MACHINERY 2480x400 (naujas),1 450 €
20-32-523 Juostinis transporteris WOODLAND MACHINERY 2790x240 (naujas),1 220 €
20-75-810 CNC apdirbimo centras WOODLAND MACHINERY  (naujas),1 €
20-33-543 Dulkių nutraukimo sistema WOODLAND MACHINERY (nauja),999 €
Elektros spintos su daline įranga (naudotos),0
Ortakis su sklende (naujas),40 €
21-16-   Keturpusio obliavimo staklės  GUBISCH  (naudotos),2 400 €
21-16-   Keturpusio obliavimo staklės  WOODLAND MACHINERY (naujos),21 300 €
21-09- Kraštų užklijavimo staklės RS WOOD-CMC  (naujos),8 300 €
"21-26-075 Tašo presas, tipas L3.6",3 600 €
21-31-014 Tekinimo - kopijavimo staklės HOLZMANN VD 1100N,1 €
17- Pneumatiniai cilindrai,1 €
20-11-523 Triukšmo sumažinimo kabina (naudota),435 €
21-32-176 Pakėlimo svirtis LS15,1 €
20-32-520 Juostinis transporteris WOODLAND MACHINERY 1960x300 (naujas),1 220 €
20-09- Automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-450D (naujos),0
21-32-197 Domkratas NH ED1000 (naujas),1 €
21-32- Padėklų vežimėlis NH PL2018BP,1 €
20-09-8007-1 Kraštų užklijavimo staklės HEBROCK (naudotos),1 000 €
20-14-8001-2120314 Grandininės kaltavimo staklės HAFFNER  (naudotos),350 €
20-20-555 Daugiapjūklės staklės WOODLAND MACHINERY (naujos),19 500 €
21-11-382 Elektroninės svarstyklės U-formos NH UV2000,1 €
21-80-029/04 Galandimo staklės tiesiems peiliams HOLZMANN MS 7000,1 €
20-33-541   Ištraukimo ventiliacija (naudota),200 €
20-33-537  Dulkių nutraukimo sistema WOODLAND MACHINERY (nauja),470 €
21-32-040 Padėklų vežimėlis (naujas),1 €
21-32-143 Padavimo – prispaudimo mechanizmas HOLZMANN SF 444N-8,1 €
21-32-165 Aukšto pakėlimo padėklų vežimėlis SLP1000,1 €
21-17-305 Kaltų rinkinys HOLZMANN (naujas),69 €
20-91-001 Padavimo-prispaudimo mechanizmo ratukas (naujas),17 €
21-60-  SCM Formatinio pjovimo staklės (naudotos),1 200 €
20-14- Lari and Lari  CNC kaltavimo staklės (naudotos),4 900 €
21-14-   Grandininės kaltavimo staklės RGA Italcava  (naudotos),650 €
20-32-512 Transporteris (naujas),590 €
21-13-8052/61 Klijų bakelis su voleliais (naudotas),100 €
20-11-514 Koreguojančios staklės WOODLAND MACHINERY,1 400 €
20-32-521 Juostinis transporteris WOODLAND MACHINERY 2390x1350 (naujas),2 550 €
20-32-520 Juostinis transporteris WOODLAND MACHINERY 1960x300 (naujas),1 220 €
20-32-515 Transporteris  WOODLAND MACHINERY x6,0
20-09- Automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-330 (naujos),0
20-28-529   Skersavimo staklės Maggi (naujos),2 650 €
20-14-510 Kaltavimo staklės Woodland Machinery ( naujos),2 415 €
21-32-043 Elektrinis - hidraulinis aukšto pakėlimo padėklų vežimėlis SL 1000E,1 €
21-70-6001 Vertikalios frezavimo staklės VERTONGEN (naudotos),1 600 €
21-11-6004 Vakuuminis detalių perkėlimo robotas MUTZ MASCHINENBAU  (naudotas),500 €
"Naujos ir naudotos staklių detalės, cilindrai, skriemuliai, grandinės patraukliomis kainomis",1 €
20-29-   Celfa Šepetinės šlifavimo staklės (naudotos),7 999 €
20-32-519 Transporteris WOODLAND MACHINERY,0
20-09- Pusiau automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-526D (naujos),0
20-09- Pusiau automatinės kraštų užklijavimo staklės WOODLAND MACHINERY FZ-520 (naujos),0
21-33- Dulkių nutraukimo sistema HOLZMANN  ABS 5000 (nauja),1 €
21-17-376 Kaltavimo grąžtai (naudoti),5 €
21-90-146 Koloninės gręžimo staklės metalui HOLZMANN  (naujos),339 €
21-14 Kaltavimo staklės HOLZMANN LBM250C (naujos),1 €
"21-17   Vamzdžiai, žiedai JKF (nauji)",1 €
21-32-169 Elektrinis – hidraulinis krautuvas  NH CL1534FFL (naujas),1 €
21-32-042 Padėklų vežimėlis su skale PLW2000BN,1 €
21-29-293 Briaunų šlifavimo staklės HOLZMANN KOS 2260C,1 €
21-12- Juostinis siaurapjūklis  kartonui ir parolonui  Sweden (naudotas),1 200 €
Šepetinės šlifavimo staklės WOODLAND MACHINERY (naujos),6 100 €
20-29- Šepetinės šlifavimo staklės WOODLAND MACHINERY (naujos),4 130 €
21-29-003 Rankinio šlifavimo staklės HSM (su stovu ir kontrasvoriu),1 014 €
Įvairių medienos apdirbimo staklių dalių išpardavimas,2 €
21-60-8003/5  Automatinės formatinio pjovimo staklės SCM  (naudotos),4 200 €
20-28-529   Skersavimo staklės Maggi (naujos),1 €
21-31-011 Tekinimo staklės HOLZMANN DBK 1300,1 €
21-33-057 Dulkių nutraukimo sistema HOLZMANN ABS 3880,1 €
21-31-013 Tekinimo staklės HOLZMANN D460F	 21-31-013 Lathe HOLZMANN D460F,1 €
21-60-090 Formatinio pjovimo staklės HOLZMANN TS 250F,1 €
21-70 Frezavimo staklės  HOLZMANN FS 200 (naujas),1 €
21-70 Frezavimo staklės  HOLZMANN FS 200S (naujas),1 €
21-70 Frezavimo staklės  HOLZMANN FS 200SF (naujas),1 €
21-80-027/07/08 Diskinių pjūklų galandimo staklės HOLZMANN MTY 8-70,1 €
21-80-028 Galandimo staklės tiesiems peiliams HOLZMANN MS 6000,1 €
21-80-045 Galandinimo įrenginys grąžtams HOLZMANN  (naujas),1 €
21-90-129 Gręžimo staklės HOLZMANN SB 4116H,1 €
21-32-045 Padėklų vežimėlis PL2000BPQ,1 €
21-32-264 Domkratas NH (naujas),1 €
21-27- Reismusas HOLZMANN (naujas),1 €
